title,release_date,popularity,vote_average,genre_ids,genre_names,type
Raven's Home,21/07/2017,406.372,7.846,"[10751, 35, 18]","Family, Comedy, Drama",tvshow
Taboo,07/01/2017,406.026,7.9,"[18, 9648]","Drama, Mystery",tvshow
House of Cards,01/02/2013,405.846,8.0,[18],Drama,tvshow
Agatha Christie's Poirot,08/01/1989,404.69,8.163,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
Will & Grace,21/09/1998,404.59,6.848,[35],Comedy,tvshow
Will & Grace,21/09/1998,404.59,6.848,[35],Comedy,tvshow
Will & Grace,21/09/1998,404.59,6.848,[35],Comedy,tvshow
Will & Grace,28/09/2017,235.432,7.467,[35],Comedy,tvshow
Will & Grace,28/09/2017,235.432,7.467,[35],Comedy,tvshow
Will & Grace,28/09/2017,235.432,7.467,[35],Comedy,tvshow
The Office,24/03/2005,403.994,8.573,[35],Comedy,tvshow
The Office,24/03/2005,403.994,8.573,[35],Comedy,tvshow
The Office,09/07/2001,54.056,7.855,[35],Comedy,tvshow
The Office,09/07/2001,54.056,7.855,[35],Comedy,tvshow
GLOW,23/06/2017,402.352,7.268,"[35, 18]","Comedy, Drama",tvshow
The Equalizer,07/02/2021,401.551,7.587,"[80, 18]","Action & Adventure, Crime, Drama",tvshow
The Equalizer,18/09/1985,88.164,7.057,"[10759, 80, 18]","Action & Adventure, Crime, Drama",tvshow
The King of Queens,21/09/1998,398.18,7.1,[35],Comedy,tvshow
Deadwood,21/03/2004,394.796,8.097,"[37, 80, 18]","Western, Crime, Drama",tvshow
Girls,15/04/2012,393.739,6.261,"[18, 35]","Drama, Comedy",tvshow
1883,19/12/2021,392.639,8.296,"[18, 37]","Drama, Western",tvshow
Buffy the Vampire Slayer,10/03/1997,391.8,8.136,"[10765, 35, 18, 10759]","Sci-Fi & Fantasy, Comedy, Drama, Action & Adventure",tvshow
Buffy the Vampire Slayer,10/03/1997,391.8,8.136,"[10765, 35, 18, 10759]","Sci-Fi & Fantasy, Comedy, Drama, Action & Adventure",tvshow
Loki,09/06/2021,389.98,8.178,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
Robert Montgomery Presents,30/01/1950,389.964,4.333,[18],Drama,tvshow
Space: 1999,04/09/1975,389.854,7.066,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
The Good Fight,19/02/2017,388.809,7.62,[18],Drama,tvshow
RuPaul's Drag Race All Stars,22/10/2012,387.331,7.423,[10764],Reality,tvshow
CSI: Miami,23/09/2002,386.987,7.735,"[18, 9648, 80]","Drama, Mystery, Crime",tvshow
The Sopranos,10/01/1999,386.534,8.643,[18],Drama,tvshow
Supergirl,26/10/2015,385.749,7.324,"[18, 10765, 10759]","Drama, Sci-Fi & Fantasy, Action & Adventure",tvshow
The Avengers,07/01/1961,385.497,7.685,"[10759, 80, 10765]","Action & Adventure, Crime, Sci-Fi & Fantasy",tvshow
Servant,28/11/2019,384.75,7.6,"[18, 9648]","Drama, Mystery",tvshow
90 Day Fiancé,12/01/2014,383.394,7.4,[10764],Reality,tvshow
The Last of Us,15/01/2023,382.756,8.604,[18],Drama,tvshow
Pretty Little Liars,08/06/2010,382.674,8.0,"[18, 9648]","Drama, Mystery",tvshow
Pretty Little Liars,08/06/2010,382.674,8.0,"[18, 9648]","Drama, Mystery",tvshow
Pretty Little Liars,08/06/2010,382.674,8.0,"[18, 9648]","Mystery, Drama",tvshow
Taken,27/02/2017,382.582,6.526,"[10759, 80, 18, 35]","Action & Adventure, Crime, Drama, Comedy",tvshow
Taken,27/02/2017,382.582,6.526,"[10759, 80, 18, 35]","Sci-Fi & Fantasy, Drama, Mystery, Crime",tvshow
Taken,02/12/2002,40.808,7.463,"[10765, 18, 9648, 80]","Action & Adventure, Crime, Drama, Comedy",tvshow
Taken,02/12/2002,40.808,7.463,"[10765, 18, 9648, 80]","Sci-Fi & Fantasy, Drama, Mystery, Crime",tvshow
Coronation Street,09/12/1960,381.576,5.277,[10766],Soap,tvshow
